prompt,completion
"The news related to polysilicon prices in the upcoming months suggests several factors that will have a significant effect on the China and global PV market. One important factor is the rapid expansions of Longi and Zhonghuan Semiconductor, both of which exclusively produce monocrystalline products. The question arises as to how these companies will cover their demand for high-purity polysilicon. This could potentially lead to a shortage of polysilicon in the market.  Another factor to consider is the price war between companies. The increase in Chinese polysilicon production has led to a decrease in imports and a decrease in the share of imports in China's polysilicon supply. Chinese manufacturers are continuously expanding their production capacities, which has resulted in a decrease in the global share of polysilicon output from other countries. This increase in production capacity and decrease in imports could lead to a decrease in polysilicon prices.  Government subsidies also play a role in the future prices of polysilicon. The announcement made by the U.S. administration regarding tariffs on imports is forecasted to have a negative effect on PV demand in the U.S. This could indirectly impact the total demand for polysilicon in 2018. Additionally, the reaction of Chinese companies to the new tariffs suggests that they do not have a major problem with them. This could further impact the demand for polysilicon and potentially lead to a shortage.  Geopolitical conflicts also have the potential to affect polysilicon prices. The current barriers to export U.S. polysilicon into China are not expected to be removed, and the prospect of a short-term polysilicon shortage may not be enough to encourage China to provide access to U.S. suppliers. This could further impact the supply and demand dynamics of the polysilicon market.  Overall, the news suggests that the growth of polysilicon imports to China is slowing down, and China is replacing additional demand for polysilicon imports through domestic production. Expansion plans for production outside of China are few and far between, indicating that demand for imports is stagnating. However, concerns remain over the quality of the polysilicon being produced in China, especially for monocrystalline products that require higher purity polysilicon.  In conclusion, the news indicates that the future prices of polysilicon will be influenced by factors such as the rapid expansions of monocrystalline producers, the price war between companies, government subsidies, and geopolitical conflicts. These factors could potentially lead to a shortage of polysilicon and a decrease in prices./n",3
"Based on the news, there are several factors that will have a significant effect on future polysilicon prices in the China and global PV market. One important factor is the rapid expansion of companies like Longi and Zhonghuan Semiconductor, which exclusively produce monocrystalline products. However, it remains uncertain how these companies will cover their demand for high-purity polysilicon.  Another factor to consider is the potential link between cost reduction measures and the implementation of enhanced cell concepts and improved module technologies. This could lead to higher output power for modules made from multicrystalline silicon (mc-Si) and p-type mono-Si by 2028.  The contribution of polysilicon to the final price of solar modules has nearly doubled from 12% to 23% in recent years. Wafers and cells have slightly decreased in their contribution, while module production still takes the largest share of the final module price. With no supply shortage expected in the value chain, producers will continue to face pressure to cut costs.  Geopolitical conflicts, such as the trade war between the US and China, also have an impact on polysilicon prices. The US administration's announcement of tariffs on Chinese goods is forecasted to have a negative effect on PV demand in the US, indirectly reducing the total demand for polysilicon in 2018. This could also hinder US polysilicon companies from exporting to China.  China's efforts to meet more of its own demand for polysilicon domestically have led to a slowdown in the growth of imports. Expansion plans for production outside of China among polysilicon producers are limited, indicating stagnating demand for imports.  In terms of specific companies, Daqo New Energy expects to sell a significant amount of polysilicon in the first quarter of this year and is focused on reducing costs through technological improvements. OCI from South Korea is one of the few companies considering expansion outside of China, with plans for a new facility in Malaysia.  Overall, the future prices of polysilicon will be influenced by factors such as the expansion plans of key producers, the implementation of cost reduction measures, geopolitical conflicts, and the balance between domestic production and imports in China./n",3
"According to a report, companies in the polysilicon industry may be able to reduce costs and improve module technologies, leading to higher output power for solar modules by 2028. The report also highlights the changing contributions of polysilicon, wafers, cells, and modules to the final price of solar modules. Polysilicon's share of the final price nearly doubled to 23%, while wafers and cells decreased slightly to 18% and 22% respectively. The module production part still accounts for the largest share of the final price. The report emphasizes that prices will not compensate for additional costs, putting pressure on producers to cut costs. The report also states that the crystalline silicon technology market share is above 90%.   Daqo, a polysilicon manufacturer, expects to sell between 4,900 and 5,100 MT of polysilicon in the first quarter of this year. The company's focus is on reducing costs, and it has already achieved improved manufacturing efficiency. Daqo plans to further reduce costs in 2018 through technological improvements. The company also conducted annual maintenance at its manufacturing site and approved a project to increase its polysilicon annual capacity.   Another company, GCL-Poly, reported a rise in annual revenue and EBITDA. The company has significant production capacity for monocrystalline silicon ingots, wafers, solar cells, and PV modules. It plans to invest in additional production capacity for monocrystalline silicon ingots, wafers, and PV modules.   Wacker Chemie, a polysilicon producer, expects to restart production in the U.S. in the spring. However, the current production loss will result in lower sales volumes compared to the previous year. Wacker Polysilicon's 2018 sales are expected to be slightly below the previous year due to lower average prices./n",3
"According to recent news, the polysilicon market is expected to see significant changes in the upcoming months. One important factor that will affect polysilicon prices is the inventory levels. Chinese manufacturers have been making progress in increasing their polysilicon capacity, with the capacity expected to reach 450,000 MT by the end of 2018. This indicates that China is aiming for independence from polysilicon imports. However, Chinese wafer producers will still continue to import large amounts of polysilicon, with South Korean producers accounting for 45% of these imports.  Another factor that will impact polysilicon prices is the price war between companies. The report suggests that companies may be able to link cost reduction measures with the implementation of enhanced cell concepts and improved module technologies. This could lead to lower prices for polysilicon in the future.  Government subsidies also play a role in the polysilicon market. The Chinese government has been providing subsidies to support the growth of the PV market. These subsidies can have an impact on the prices of polysilicon, as they can influence the demand and supply dynamics in the market.  Geopolitical conflicts can also affect polysilicon prices. For example, the news mentions that Longi, a Chinese company, has chosen to partner with a fellow Chinese company, Daqo, for the supply of polysilicon. This is significant because it indicates that quality is an issue when buying polysilicon, and imported polysilicon can be superior. Geopolitical conflicts can disrupt the supply chain and affect the availability and prices of polysilicon.  Overall, the news suggests that polysilicon prices will be influenced by factors such as inventory levels, price wars between companies, government subsidies, and geopolitical conflicts. It is important for strategic experts to closely monitor these factors and make informed decisions based on the latest news and developments in the polysilicon market./n",3
"According to recent news, the polysilicon market is expected to see significant changes in the upcoming months. One important factor that will affect prices is the inventory of polysilicon. Chinese manufacturers have been making progress in increasing their polysilicon capacity, with the goal of achieving independence from imports. By the end of 2018, Chinese polysilicon capacity could reach 450,000 MT, compared to 319,000 MT at the end of 2017. This increase in capacity could potentially lead to a decrease in prices.  Another factor that could impact polysilicon prices is the price war between companies. As Chinese manufacturers expand their production, they may engage in price competition to gain market share. This could lead to a decrease in prices as companies try to undercut each other.  Government subsidies also play a role in the polysilicon market. China has been providing subsidies to support the development of the PV industry, including polysilicon production. Changes in government policies and subsidies could have an impact on the prices of polysilicon.  Geopolitical conflicts can also affect the polysilicon market. For example, imports of polysilicon from South Korea and Germany have been significant for Chinese wafer producers. Any conflicts or trade disputes between countries could disrupt the supply chain and potentially lead to price fluctuations.  In addition to these factors, the quality of polysilicon is also important. Chinese manufacturers have been working to improve the quality of their production, narrowing the quality gap with international producers. This could potentially lead to increased demand for Chinese polysilicon and have an impact on prices.  Overall, the polysilicon market is expected to see changes in the upcoming months. Factors such as inventory levels, price competition, government subsidies, geopolitical conflicts, and quality improvements will all play a role in determining the future prices of polysilicon. As a strategic expert, it is important to closely monitor these factors and make informed decisions based on the latest news and developments in the market./n",3
"According to recent news, the polysilicon market in China and the global PV market is expected to be significantly affected by several factors. One important factor is the increasing capacity of Chinese polysilicon manufacturers. Chinese polysilicon capacity is expected to reach 450,000 MT by the end of 2018, indicating significant progress in terms of quantity. This supports the goal of China to become independent from polysilicon imports.  However, despite the increase in capacity, Chinese wafer producers will continue to import large amounts of polysilicon. In 2017, China imported 159,000 MT of polysilicon, with South Korean producers accounting for 45% of these imports and Germany's Wacker accounting for 30%. This suggests that there is still a demand for high-purity polysilicon that Chinese manufacturers are unable to meet.  In terms of quality, Chinese manufacturers are making efforts to improve their production and reduce the quality gap between imported polysilicon and domestically produced polysilicon. This indicates that in the future, Chinese manufacturers may be able to produce polysilicon of comparable quality to imported polysilicon.  The expansion plans of companies like Longi and Zhonghuan Semiconductor, which exclusively produce monocrystalline products, have implications both upstream and downstream. These companies will need to secure a steady supply of polysilicon to meet their production needs. Longi has already signed a contract to buy around 64,600 metric tons of polysilicon from South Korea's OCI over the next three years. This indicates that there is a demand for high-quality polysilicon in the market.  The anticipated oversupply of polysilicon in the second half of the year is expected to depress prices further. This could potentially lead to a price war among companies as they try to maintain market share. Companies like Longi, with their economies of scale, may have an advantage in this situation.  Overall, the news suggests that the polysilicon market in China and the global PV market will be influenced by factors such as capacity expansion, import dependence, quality improvement, and potential price wars. These factors should be taken into consideration when making strategic decisions regarding the polysilicon market in China./n",3
"According to recent news, there are several factors that will have a significant effect on future polysilicon prices in the China and global PV market. One important factor is the increasing capacity of Chinese polysilicon manufacturers. Chinese polysilicon capacity is expected to reach 450,000 MT by the end of 2018, indicating significant progress in terms of quantity. This supports the goal of China to become independent from polysilicon imports.  However, despite the increase in capacity, Chinese wafer producers will continue to import large amounts of polysilicon. In 2017, China imported 159,000 MT of polysilicon, with South Korean producers accounting for 45% of these imports and Germany's Wacker accounting for 30%. This suggests that there is still a demand for high-quality polysilicon that Chinese manufacturers are unable to meet.  In terms of specific companies, Longi, a major player in the PV market, has announced plans to invest in a 5 GW solar module assembly plant in China. To meet its polysilicon needs, Longi has signed a contract to buy around 64,600 metric tons of polysilicon from South Korea's OCI over the next three years. This indicates that Longi recognizes the importance of high-quality polysilicon for monoingot and wafer production.  Another company, Zhonghuan Semiconductor, is also sourcing polysilicon from OCI, Wacker, and GCL Poly. Zhonghuan has entered into a joint development agreement with GCL for the supply of polysilicon from a plant under construction in the Xinjiang Region. This suggests that multiple companies are relying on imports to meet their polysilicon needs.  Furthermore, the expansion plans of Longi and Zhonghuan have implications both upstream and downstream. The massive volumes of ingots and wafers that these companies plan to produce will require a steady supply of polysilicon. Longi's expansion plans alone involve a significant investment of CNY 1.95 billion (US$299.5 million) and a target of 45 GW of ingot and wafer capacity by 2020.  In terms of government subsidies, it is worth noting that while Wacker was able to negotiate a minimum price with the Chinese government for exports of its polysilicon to China, other large producers such as Hemlock Semiconductor and REC Silicon may be left out due to high Chinese duties on U.S. polysilicon. This suggests that government policies and subsidies can have a significant impact on the polysilicon market.  Overall, the news indicates that the future polysilicon prices will be influenced by factors such as the capacity of Chinese manufacturers, the reliance on imports by Chinese wafer producers, the expansion plans of major companies like Longi and Zhonghuan, and government subsidies and policies. It is important for strategic decision-makers to closely monitor these factors and their potential impact on the polysilicon market./n",3
"According to recent news, the polysilicon market in China and the global PV market is expected to be significantly impacted by several factors. One important factor is the increasing capacity of Chinese polysilicon manufacturers, which is expected to reach 450,000 MT by the end of 2018. This indicates that Chinese manufacturers are making progress towards achieving independence from polysilicon imports.  However, despite this progress, Chinese wafer producers will continue to import large amounts of polysilicon. In 2017, China imported 159,000 MT of polysilicon, with South Korean producers accounting for 45% of these imports and Germany's Wacker accounting for 30%. This suggests that there is still a demand for high-quality polysilicon that Chinese manufacturers are unable to meet.  In terms of production expansion, Longi, a Chinese monocrystalline PV module producer, has announced plans to invest CNY 1.95 billion in the construction of a 5 GW solar module assembly plant. To meet its polysilicon needs, Longi has signed a contract to buy around 64,600 metric tons of polysilicon from South Korea's OCI over the next three years. This highlights the importance of securing a stable supply of high-quality polysilicon for monocrystalline ingot and wafer production.  Furthermore, the expansion plans of Longi and another Chinese monocrystalline PV module producer, Zhonghuan Semiconductor, have implications both upstream and downstream. These companies will need to source large volumes of polysilicon to meet their production needs. Zhonghuan is also sourcing polysilicon from OCI, Wacker, and GCL Poly, and has entered into a joint development agreement with GCL for the supply of polysilicon from a plant under construction in the Xinjiang Region.  The geopolitical conflicts and trade wars between China and the United States have also affected the polysilicon market. Polysilicon spot prices inside China were estimated to be around $16 per kg at the end of the first quarter of 2018, which is $3 less than the same quarter in 2017. The solar trade war between China and the United States has caused supply constraints and higher prices for solar grade polysilicon within China.  Overall, the news suggests that the future polysilicon prices will be influenced by factors such as the capacity expansion of Chinese manufacturers, the demand for high-quality polysilicon, the need for stable supply for monocrystalline production, and geopolitical conflicts and trade wars. It is important for strategic decision-makers in the polysilicon market to closely monitor these developments and adjust their strategies accordingly./n",2
"Based on the news, there are several factors that will have a significant effect on future polysilicon prices. One of the key factors is the supply of polysilicon. Longi, a Chinese solar company, has signed a contract to buy around 64,600 metric tons of polysilicon from South Korea's OCI over the next three years. This indicates a high demand for polysilicon, which could potentially drive up prices.  Another important factor is the quality of polysilicon. Longi's Xie notes that imported polysilicon, such as from OCI, is considered to be of higher quality compared to some Chinese manufacturers. However, Chinese manufacturers are working to improve the quality of their production, which could narrow the quality gap in the future. This suggests that the quality of polysilicon from Chinese manufacturers may improve, potentially impacting prices.  Furthermore, the news mentions that polysilicon prices grew in the first quarter of this year due to stronger demand. However, prices fell later in the quarter due to softer markets caused by uncertainty in polysilicon demand and the Chinese holiday season. Polysilicon spot prices inside China were estimated to be around $16 per kg at the end of the first quarter, which is $3 less than the same quarter in 2017. This indicates that polysilicon prices can be volatile and influenced by market conditions.  Additionally, the news highlights the potential for a price war in the second half of the year. Longi's decision to lower the prices of its mono wafers caused other wafer makers to cut their prices as well. This could potentially lead to a price war as companies compete for market share. An oversupply of mono wafers could further depress prices and potentially lead to negative margins for companies.  Overall, the news suggests that the supply and quality of polysilicon, market conditions, and potential price wars among companies will have a significant effect on future polysilicon prices. It is important for strategic decision-makers in the polysilicon market, particularly in China, to closely monitor these factors and adjust their strategies accordingly./n",2
"According to recent news, the Norway-based polysilicon manufacturer REC Silicon has reported improved revenues and profits in the first quarter of this year compared to the same period last year. The company attributes this improvement to stronger demand for polysilicon, which led to higher prices. However, the prices fell later in the quarter due to softer markets and uncertainty in polysilicon demand, as well as the Chinese holiday season. It is worth noting that solar grade polysilicon prices continue to be higher inside China due to supply constraints caused by the solar trade war between China and the United States.  In terms of production, REC Silicon expects to produce 2,660 MT of polysilicon in the second quarter of this year and 11,590 MT in the full fiscal year 2018. The company also predicts average production costs of $13.4 per kg for the current quarter and $11.6 per kg for the whole year.  In addition to REC Silicon's performance, the news highlights the expansion plans of major PV players in China. Companies such as GCL, Tongwei, and East Hope Group are adding significant new capacities of polysilicon production this year. Longi and Zhonghuan Semiconductor are also expanding their wafer production capacities. JinkoSolar, Longi, and other companies have announced plans to increase their module capacities. However, China's NEA is closely monitoring the situation to avoid potential overcapacity issues.  Furthermore, the news mentions the process of issuing shares on China's stock market for several PV companies previously listed on foreign stock exchanges. Trina Solar, JA Solar, and Canadian Solar are among the companies that have decided to float on China's stock market after being dissatisfied with their market prices on foreign exchanges.  Lastly, China's Sunpower Group has secured a contract to provide polysilicon manufacturing equipment to Xinte Energy, one of the world's largest polysilicon manufacturers. This contract further strengthens Sunpower Group's position in the polysilicon industry.  Overall, the news suggests that polysilicon prices have been influenced by factors such as demand, market conditions, supply constraints, and geopolitical conflicts. The expansion plans of major PV players in China and the process of issuing shares on China's stock market for PV companies could also have an impact on future polysilicon prices./n",1
